,State,SlNo,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,Last_Updated
0,Andaman and Nicobar Islands,734,1123,752,355,16,0,0,0,0,0,0.0
1,Andhra Pradesh,859,196789,82166,112870,1753,0,10328,1740,8516,72,0.0
2,Arunachal Pradesh,1455,1948,700,1245,3,0,93,58,35,0,0.0
3,Assam,2645,52818,15431,37225,126,3,1184,1179,0,5,0.0
4,Bihar,4285,68148,23939,43820,388,1,3416,1947,1450,19,0.0
5,Chandigarh,846,1327,529,777,20,1,57,-5,62,0,0.0
6,Chhattisgarh,4929,11020,2855,8088,77,0,523,300,217,6,0.0
7,Dadra and Nagar Haveli and Daman and Diu,1161,1415,406,997,2,10,43,7,36,0,0.0
8,Delhi,2376,141531,10348,127124,4059,0,0,0,0,0,0.0
9,Goa,1049,7614,2095,5453,66,0,48,23,23,2,0.0
10,Gujarat,6448,67811,14708,50524,2579,0,1034,90,917,27,0.0
11,Haryana,5151,39303,6205,32640,458,0,755,72,680,3,0.0
12,Himachal Pradesh,3351,3047,1141,1865,13,28,131,28,103,0,0.0
13,Jammu and Kashmir,5901,23454,7310,15708,436,0,499,25,464,10,0.0
14,Jharkhand,6923,15756,9017,6594,145,0,708,-69,768,9,0.0
15,Karnataka,9279,158254,75067,80281,2897,9,6805,1110,5602,93,0.0
16,Kerala,5036,30449,11983,18333,98,35,1298,495,800,3,0.0
17,Ladakh,1375,1595,411,1177,7,0,3,-10,13,0,0.0
18,Lakshadweep,1063,0,0,0,0,0,0,0,0,0,0.0
19,Madhya Pradesh,18558,36564,8716,26902,946,0,830,-25,838,17,0.0
20,Maharashtra,14663,479779,146305,316375,16792,307,11514,344,10854,316,0.0
21,Manipur,7350,3217,1304,1905,8,0,124,123,0,1,0.0
22,Meghalaya,5437,990,640,345,5,0,51,45,6,0,0.0
23,Mizoram,6423,538,249,288,0,1,33,31,2,0,0.0
24,Nagaland,5648,2580,1752,819,6,3,82,-52,134,0,0.0
25,Odisha,14719,40717,13549,26888,280,0,1699,538,1150,11,0.0
26,Puducherry,2685,4621,1743,2808,70,0,188,43,140,5,0.0
27,Punjab,11657,20891,6715,13659,517,0,1035,293,716,26,0.0
28,Rajasthan,18016,48996,13108,35131,757,0,1151,-143,1282,12,0.0
29,Sikkim,2924,829,475,353,1,0,0,0,0,0,0.0
30,Tamil Nadu,22328,279144,53486,221087,4571,0,5684,-698,6272,110,0.0
31,Telangana,20296,73050,20358,52103,589,0,2092,2092,0,0,0.0
32,Tripura,5661,5740,1898,3793,31,18,98,29,68,1,0.0
33,Uttar Pradesh,49936,108974,43654,63402,1918,0,4586,1681,2844,61,0.0
34,Uttarakhand,9837,8623,3056,5427,102,38,369,171,194,4,0.0
35,West Bengal,17232,86754,23829,61023,1902,0,2954,837,2061,56,0.0
